Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (lin64) Build 3064766 Wed Nov 18 09:12:47 MST 2020
| Date         : Mon Oct 11 16:28:38 2021
| Host         : parallels-Parallels-Virtual-Platform running 64-bit Ubuntu 20.04.3 LTS
| Command      : report_utilization -hierarchical -file /home/parallels/Desktop/PicoRV/ENGG4811_code/demo/utilisation/multicast/multicast_8.txt
| Design       : board_top
| Device       : 7a100tcsg324-1
| Design State : Routed
------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------------------------------------------------------------------------+------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                                             Instance                                            |                  Module                  | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
|     NETWORK_ROW_GEN[0].NETWORK_COL_GEN[1].FOX_NETWORK_GEN.FOX_GEN.FOX_NODE_INITIALISE           |                 fox_node__parameterized1 |       2929 |       1777 |    1152 |    0 | 1189 |      0 |      0 |          4 |
|       ENCODER                                                                                   |                          message_encoder |          2 |          2 |       0 |    0 |   56 |      0 |      0 |          0 |
|       NIC                                                                                       |              nic_dual__parameterized1_12 |        192 |        112 |      80 |    0 |  195 |      0 |      0 |          0 |
|         (NIC)                                                                                   |              nic_dual__parameterized1_12 |          0 |          0 |       0 |    0 |  117 |      0 |      0 |          0 |
|         NETWORK_TO_PE_FIFO                                                                      |     fifo_sync_wrapper__parameterized6_15 |         96 |         56 |      40 |    0 |   42 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |             fifo_sync__parameterized7_18 |         96 |         56 |      40 |    0 |   42 |      0 |      0 |          0 |
|         PE_TO_NETWORK_FIFO                                                                      |     fifo_sync_wrapper__parameterized2_16 |         96 |         56 |      40 |    0 |   36 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |             fifo_sync__parameterized1_17 |         96 |         56 |      40 |    0 |   36 |      0 |      0 |          0 |
|       PE                                                                                        |                   system__parameterized1 |       2552 |       1480 |    1072 |    0 |  698 |      0 |      0 |          4 |
|         (PE)                                                                                    |                   system__parameterized1 |       1045 |         21 |    1024 |    0 |   99 |      0 |      0 |          0 |
|         picorv32_core                                                                           |              picorv32__parameterized0_13 |       1507 |       1459 |      48 |    0 |  599 |      0 |      0 |          4 |
|           (picorv32_core)                                                                       |              picorv32__parameterized0_13 |       1287 |       1239 |      48 |    0 |  562 |      0 |      0 |          0 |
|           pcpi_mul                                                                              |                picorv32_pcpi_fast_mul_14 |        226 |        226 |       0 |    0 |   37 |      0 |      0 |          4 |
|       ROUTER                                                                                    | hoplite_router_multicast__parameterized1 |        185 |        185 |       0 |    0 |  240 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[1].MULTICAST_ROUTER_GEN.MULTICAST_ROUTER                                    |    multicast_router_node__parameterized1 |        255 |        175 |      80 |    0 |  250 |      0 |      0 |          0 |
|       (NETWORK_ROW_GEN[1].MULTICAST_ROUTER_GEN.MULTICAST_ROUTER)                                |    multicast_router_node__parameterized1 |          2 |          2 |       0 |    0 |  122 |      0 |      0 |          0 |
|       BUFFER_GEN[0].BUFFER_FIFO                                                                 |                        fifo_sync_wrapper |        115 |         75 |      40 |    0 |   34 |      0 |      0 |          0 |
|         UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                               |                             fifo_sync_11 |        115 |         75 |      40 |    0 |   34 |      0 |      0 |          0 |
|       BUFFER_GEN[1].BUFFER_FIFO                                                                 |                     fifo_sync_wrapper_10 |         86 |         46 |      40 |    0 |   34 |      0 |      0 |          0 |
|         UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                               |                                fifo_sync |         86 |         46 |      40 |    0 |   34 |      0 |      0 |          0 |
|       ROUTER                                                                                    |         multicast_router__parameterized1 |         52 |         52 |       0 |    0 |   60 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[1].NETWORK_COL_GEN[0].FOX_NETWORK_GEN.FOX_GEN.FOX_NODE_INITIALISE           |                 fox_node__parameterized3 |       2832 |       1760 |    1072 |    0 | 1189 |      0 |      0 |          4 |
|       ENCODER                                                                                   |        message_encoder__parameterized2_2 |          2 |          2 |       0 |    0 |   56 |      0 |      0 |          0 |
|       NIC                                                                                       |               nic_dual__parameterized1_3 |        111 |        111 |       0 |    0 |  195 |      0 |      0 |          0 |
|         (NIC)                                                                                   |               nic_dual__parameterized1_3 |          0 |          0 |       0 |    0 |  117 |      0 |      0 |          0 |
|         NETWORK_TO_PE_FIFO                                                                      |      fifo_sync_wrapper__parameterized6_6 |         53 |         53 |       0 |    0 |   42 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |              fifo_sync__parameterized7_9 |         53 |         53 |       0 |    0 |   42 |      0 |      0 |          0 |
|         PE_TO_NETWORK_FIFO                                                                      |      fifo_sync_wrapper__parameterized2_7 |         58 |         58 |       0 |    0 |   36 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |              fifo_sync__parameterized1_8 |         58 |         58 |       0 |    0 |   36 |      0 |      0 |          0 |
|       PE                                                                                        |                   system__parameterized3 |       2537 |       1465 |    1072 |    0 |  698 |      0 |      0 |          4 |
|         (PE)                                                                                    |                   system__parameterized3 |       1045 |         21 |    1024 |    0 |   99 |      0 |      0 |          0 |
|         picorv32_core                                                                           |               picorv32__parameterized0_4 |       1492 |       1444 |      48 |    0 |  599 |      0 |      0 |          4 |
|           (picorv32_core)                                                                       |               picorv32__parameterized0_4 |       1269 |       1221 |      48 |    0 |  562 |      0 |      0 |          0 |
|           pcpi_mul                                                                              |                 picorv32_pcpi_fast_mul_5 |        226 |        226 |       0 |    0 |   37 |      0 |      0 |          4 |
|       ROUTER                                                                                    | hoplite_router_multicast__parameterized3 |        182 |        182 |       0 |    0 |  240 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[1].NETWORK_COL_GEN[1].FOX_NETWORK_GEN.FOX_GEN.FOX_NODE_INITIALISE           |                 fox_node__parameterized5 |       2815 |       1743 |    1072 |    0 | 1189 |      0 |      0 |          4 |
|       ENCODER                                                                                   |          message_encoder__parameterized2 |          2 |          2 |       0 |    0 |   56 |      0 |      0 |          0 |
|       NIC                                                                                       |                 nic_dual__parameterized1 |        106 |        106 |       0 |    0 |  195 |      0 |      0 |          0 |
|         (NIC)                                                                                   |                 nic_dual__parameterized1 |          0 |          0 |       0 |    0 |  117 |      0 |      0 |          0 |
|         NETWORK_TO_PE_FIFO                                                                      |        fifo_sync_wrapper__parameterized6 |         56 |         56 |       0 |    0 |   42 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |                fifo_sync__parameterized7 |         56 |         56 |       0 |    0 |   42 |      0 |      0 |          0 |
|         PE_TO_NETWORK_FIFO                                                                      |      fifo_sync_wrapper__parameterized2_0 |         50 |         50 |       0 |    0 |   36 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |              fifo_sync__parameterized1_1 |         50 |         50 |       0 |    0 |   36 |      0 |      0 |          0 |
|       PE                                                                                        |                   system__parameterized5 |       2537 |       1465 |    1072 |    0 |  698 |      0 |      0 |          4 |
|         (PE)                                                                                    |                   system__parameterized5 |       1045 |         21 |    1024 |    0 |   99 |      0 |      0 |          0 |
|         picorv32_core                                                                           |                 picorv32__parameterized0 |       1492 |       1444 |      48 |    0 |  599 |      0 |      0 |          4 |
|           (picorv32_core)                                                                       |                 picorv32__parameterized0 |       1271 |       1223 |      48 |    0 |  562 |      0 |      0 |          0 |
|           pcpi_mul                                                                              |                   picorv32_pcpi_fast_mul |        226 |        226 |       0 |    0 |   37 |      0 |      0 |          4 |
|       ROUTER                                                                                    | hoplite_router_multicast__parameterized5 |        173 |        173 |       0 |    0 |  240 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[2].NETWORK_COL_GEN[0].PERIPHERAL_NODE_GEN.ROM_GEN.ROM                       |                                 rom_node |        287 |        251 |      36 |    0 |  286 |      0 |      0 |          0 |
|       BURST_ROM                                                                                 |                                ROM_burst |         48 |         48 |       0 |    0 |   80 |      0 |      0 |          0 |
|         (BURST_ROM)                                                                             |                                ROM_burst |         42 |         42 |       0 |    0 |   70 |      0 |      0 |          0 |
|         ROM_MEMORY                                                                              |                                      rom |          6 |          6 |       0 |    0 |   10 |      0 |      0 |          0 |
|       NIC                                                                                       |                 nic_dual__parameterized3 |        136 |        100 |      36 |    0 |  107 |      0 |      0 |          0 |
|         (NIC)                                                                                   |                 nic_dual__parameterized3 |          0 |          0 |       0 |    0 |   33 |      0 |      0 |          0 |
|         NETWORK_TO_PE_FIFO                                                                      |        fifo_sync_wrapper__parameterized2 |         67 |         51 |      16 |    0 |   36 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |                fifo_sync__parameterized1 |         67 |         51 |      16 |    0 |   36 |      0 |      0 |          0 |
|         PE_TO_NETWORK_FIFO                                                                      |        fifo_sync_wrapper__parameterized8 |         69 |         49 |      20 |    0 |   38 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |                fifo_sync__parameterized9 |         69 |         49 |      20 |    0 |   38 |      0 |      0 |          0 |
|       ROUTER                                                                                    | hoplite_router_multicast__parameterized7 |        104 |        104 |       0 |    0 |   99 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[2].NETWORK_COL_GEN[1].PERIPHERAL_NODE_GEN.ROUTER_GEN.ROUTER                 | hoplite_router_multicast__parameterized9 |         40 |         40 |       0 |    0 |   77 |      0 |      0 |          0 |
+-------------------------------------------------------------------------------------------------+------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
* Note: The sum of lower-level cells may be larger than their parent cells total, due to cross-hierarchy LUT combining


