Copyright 1986-2020 Xilinx, Inc. All Rights Reserved.
----------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2020.2 (lin64) Build 3064766 Wed Nov 18 09:12:47 MST 2020
| Date         : Mon Oct 18 13:11:02 2021
| Host         : parallels-Parallels-Virtual-Platform running 64-bit Ubuntu 20.04.3 LTS
| Command      : report_utilization -hierarchical -file Desktop/PicoRV/ENGG4811_code/demo/multicast_32_flow.txt
| Design       : board_top
| Device       : 7a100tcsg324-1
| Design State : Physopt postRoute
----------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------------------------------------------------------------------------+------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                                             Instance                                            |                  Module                  | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
|       NIC                                                                                       |              nic_dual__parameterized1_12 |        923 |        275 |     648 |    0 |  223 |      0 |      0 |          0 |
|         (NIC)                                                                                   |              nic_dual__parameterized1_12 |          0 |          0 |       0 |    0 |  114 |      0 |      0 |          0 |
|         NETWORK_TO_PE_FIFO                                                                      |     fifo_sync_wrapper__parameterized6_15 |        830 |        222 |     608 |    0 |   71 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |             fifo_sync__parameterized7_18 |        830 |        222 |     608 |    0 |   71 |      0 |      0 |          0 |
|         PE_TO_NETWORK_FIFO                                                                      |     fifo_sync_wrapper__parameterized2_16 |         93 |         53 |      40 |    0 |   38 |      0 |      0 |          0 |
|           UNINITIALISED_FIFO_GEN.UNINITIALISED_FIFO                                             |             fifo_sync__parameterized1_17 |         93 |         53 |      40 |    0 |   38 |      0 |      0 |          0 |
|       PE                                                                                        |                   system__parameterized1 |       3029 |       1445 |    1584 |    0 |  698 |      0 |      0 |          4 |
|         (PE)                                                                                    |                   system__parameterized1 |       1549 |         13 |    1536 |    0 |   99 |      0 |      0 |          0 |
|         picorv32_core                                                                           |              picorv32__parameterized0_13 |       1480 |       1432 |      48 |    0 |  599 |      0 |      0 |          4 |
|           (picorv32_core)                                                                       |              picorv32__parameterized0_13 |       1249 |       1201 |      48 |    0 |  562 |      0 |      0 |          0 |
|           pcpi_mul                                                                              |                picorv32_pcpi_fast_mul_14 |        236 |        236 |       0 |    0 |   37 |      0 |      0 |          4 |
|       ROUTER                                                                                    | hoplite_router_multicast__parameterized1 |        394 |        394 |       0 |    0 |  237 |      0 |      0 |          0 |
|     NETWORK_ROW_GEN[1].MULTICAST_ROUTER_GEN.MULTICAST_ROUTER                                    |    multicast_router_node__parameterized1 |        204 |        124 |      80 |    0 |  247 |      0 |      0 |          0 |
